epoch,train loss,val loss,swa
0.0,60.37284536273356,53.93262337336595,n
19.0,18.198185776406838,24.111488674563923,y
39.0,9.567029077564479,20.03550525985915,y
59.0,7.088385616265781,19.049867304577223,y
79.0,6.41006444697,18.93432067249013,y
99.0,6.643923447404186,17.85170428300726,y
119.0,5.2816633854857935,18.53257385684156,y
139.0,4.862625918252139,18.03307643224453,y
159.0,4.590557153271118,17.413418170364423,y
179.0,3.9499816186582994,18.001415387652386,y
199.0,4.188359135597295,17.847457626085173,y
