epoch,train loss,val loss,swa
0.0,60.45623391718817,53.76057017877184,n
19.0,17.874134790853486,21.562293417837427,y
39.0,10.476657625931708,17.310732263943244,y
59.0,8.021885973877165,16.678097607760595,y
79.0,7.47316276892619,14.723067144552866,y
99.0,5.788204001737389,13.733044068703705,y
119.0,5.891816357825615,14.144972640207444,y
139.0,4.990448101868473,12.91185017632342,y
159.0,4.718115475081222,14.592699427029181,y
179.0,4.2833369525480975,15.127357139669616,y
199.0,4.331058216489918,13.828688350902206,y
