epoch,train loss,val loss,swa
0.0,67.34224766773013,68.69546999214845,n
19.0,29.22678698117658,31.905770823127867,y
39.0,19.109837584551048,24.1314121527993,y
59.0,10.93088977582408,17.53676816960073,y
79.0,7.915355485255255,14.282976049215682,y
99.0,6.538538417738033,13.269549732998863,y
119.0,5.8511693689304884,12.654490542535337,y
139.0,5.557011053328483,12.335450174894975,y
159.0,5.197094176260673,12.495248060769985,y
179.0,4.769561415703907,12.11655844307934,y
199.0,4.576034812837804,12.897814091005474,y
