epoch,train loss,val loss,swa
0.0,57.63165920347965,58.00164834699483,n
19.0,14.468805360527154,19.30268756836807,y
39.0,8.509673562488592,12.65142574952674,y
59.0,6.890704900441715,13.143528145211967,y
79.0,6.00140160367264,12.591111249874293,y
99.0,4.990888721816693,11.633025483146232,y
119.0,4.658893308561397,11.84548676199246,y
139.0,4.522395719934259,12.672169317235602,y
159.0,4.528158215538533,12.436108398931632,y
179.0,4.240482120424474,12.631065904785315,y
199.0,4.027278893314576,14.28123194195446,y
