epoch,train loss,val loss,swa
0.0,57.89023944184909,60.706039134702536,n
19.0,14.05009843323331,19.20064936771294,y
39.0,9.140768702423657,15.766176759887854,y
59.0,7.731430246003087,13.980571185986612,y
79.0,6.655826222809962,13.712697799959331,y
99.0,5.655188210061083,13.965841327924185,y
119.0,5.287781748156177,13.568049756974137,y
139.0,4.768257099777142,13.413860135745509,y
159.0,4.272055535368436,13.809467920985247,y
179.0,3.5490537543437517,15.216041016455142,y
199.0,3.45767915673987,15.445744027745539,y
