epoch,train loss,val loss,swa
0.0,61.28156385528789,55.156378212331354,n
19.0,18.945019456368325,22.656960326364672,y
39.0,10.162966409896079,15.385937485886716,y
59.0,7.991876836708734,14.484537281524176,y
79.0,6.645628063811917,13.362684406768317,y
99.0,5.792011707839908,12.573632802771426,y
119.0,5.5389444669577435,12.53825530033002,y
139.0,5.289742624189194,13.329116649326236,y
159.0,4.959359135970034,13.429689016150332,y
179.0,4.918323629424835,14.768308336022256,y
199.0,5.146155735718685,15.137554785986056,y
