epoch,train loss,val loss,swa
0.0,30.711041251535082,30.186017789139317,n
19.0,12.909710887299855,14.577931084445325,y
39.0,9.049821705958728,12.92105877881163,y
59.0,5.970329240819417,12.776869714195872,y
79.0,4.196028397351636,12.887200882658362,y
99.0,3.2859053950278647,13.010713558708286,y
119.0,2.580146681057081,12.986083666504971,y
139.0,2.1666795098803364,12.901016984456058,y
159.0,1.9910513268667058,12.90571160042851,y
179.0,1.8026329515613322,12.98315972802711,y
199.0,1.641297445404636,12.851624149636462,y
219.0,1.5467285727640931,12.897330334410071,y
239.0,1.458411773494376,12.918878549067625,y
259.0,1.572285950311043,12.933568526894367,y
