epoch,train loss,val loss,swa
0.0,58.88519016510816,62.76213332964349,n
19.0,16.72984761247591,23.827399736241354,y
39.0,9.060346745973582,16.93471993868833,y
59.0,7.218361105410357,16.855692614545475,y
79.0,5.892676433024497,15.589012682746729,y
99.0,5.743136572186731,16.047934372190365,y
119.0,5.127776945701289,17.329412305293307,y
139.0,4.6801866152940805,16.519794892152973,y
159.0,4.776910808636565,17.562274214517267,y
179.0,4.194749205642864,16.75552109547847,y
199.0,3.6808491902654166,17.22227913172134,y
